Streaming output truncated to the last 5000 lines.
{'t': 30.730000000002004, 'V': 108.95920836982629, 'n': 0.5278572394808397, 'm': 0.9245662705560515, 'h': 0.34060248270806176}
{'t': 30.740000000002006, 'V': 108.73478347346061, 'n': 0.5323607486415142, 'm': 0.9308141434467375, 'h': 0.3371997124620305}
{'t': 30.750000000002007, 'V': 108.49383523822405, 'n': 0.5368072781263847, 'm': 0.9365201454491097, 'h': 0.33383101851797065}
{'t': 30.76000000000201, 'V': 108.23901768723309, 'n': 0.5411967996100153, 'm': 0.9417312328286336, 'h': 0.33049606453674535}
{'t': 30.77000000000201, 'V': 107.97215968509698, 'n': 0.5455294294159246, 'm': 0.9464905038964406, 'h': 0.3271945170997259}
{'t': 30.780000000002012, 'V': 107.69451731384707, 'n': 0.5498053828303602, 'm': 0.9508374191921686, 'h': 0.32392604585390716}
{'t': 30.790000000002014, 'V': 107.4069570285998, 'n': 0.5540249426352531, 'm': 0.9548080477856836, 'h': 0.320690323605007}
{'t': 30.800000000002015, 'V': 107.11008524627755, 'n': 0.5581884377952144, 'm': 0.9584353210599773, 'h': 0.3174870263729526}
{'t': 30.810000000002017, 'V': 106.80433806922595, 'n': 0.5622962292240736, 'm': 0.9617492825143719, 'h': 0.31431583342071884}
{'t': 30.82000000000202, 'V': 106.49004224910648, 'n': 0.5663487003870145, 'm': 0.9647773269522911, 'h': 0.3111764272646516}
{'t': 30.83000000000202, 'V': 106.1674559218951, 'n': 0.5703462511470656, 'm': 0.9675444255530876, 'h': 0.3080684936721719}
{'t': 30.84000000000202, 'V': 105.83679540976526, 'n': 0.574289293754114, 'm': 0.9700733352986821, 'h': 0.3049917216510425}
{'t': 30.850000000002023, 'V': 105.49825259332432, 'n': 0.5781782502285837, 'm': 0.972384792422409, 'h': 0.3019458034331141}
{'t': 30.860000000002024, 'V': 105.15200599606037, 'n': 0.5820135506407469, 'm': 0.9744976902434199, 'h': 0.2989304344545493}
{'t': 30.870000000002026, 'V': 104.79822772872795, 'n': 0.5857956319575176, 'm': 0.9764292421306795, 'h': 0.2959453133338783}
{'t': 30.880000000002028, 'V': 104.43708773742873, 'n': 0.5895249372437334, 'm': 0.9781951305276527, 'h': 0.2929901418487906}
{'t': 30.89000000000203, 'V': 104.06875631256776, 'n': 0.5932019150812881, 'm': 0.979809643040024, 'h': 0.29006462491226137}
{'t': 30.90000000000203, 'V': 103.6934054860725, 'n': 0.5968270191194514, 'm': 0.9812857965928959, 'h': 0.2871684705484061}
